Area(SQM),Bedroom,Bathroom,Location,Price,Negotiable,Balcony,Electricity,Water,Gas,Landline,Elevator,Security,Built_in_Kitchen,Maids_Room,Private_Garden,Parking,Central(A/C)& heating,Pool,Type,Level,Furnished,Compound,Delivery_Date,Delivery_Term,meter_price
120,3,1,Agami,580000,0,0,1,1,1,1,0,0,0,0,0,0,0,0,Apartment,1,0.0,Not_In_Compound,Ready,Finished,4833.333333333333
225,2,2,Agami,490000,1,1,1,1,0,1,1,1,0,0,1,0,0,0,Apartment,5,0.0,Not_In_Compound,Ready,Finished,2177.777777777778
80,2,1,Maamoura,330000,1,1,1,1,0,0,1,0,0,0,0,0,0,0,Apartment,8,1.0,Amorada,Ready,Finished,4125.0
140,3,2,Agami,750000,0,1,1,1,1,1,1,1,1,0,0,0,0,0,Apartment,4,1.0,Not_In_Compound,Ready,Finished,5357.142857142857
100,3,1,Maamoura,250000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,3,0.0,Not_In_Compound,Ready,Not Finished,2500.0
162,3,2,Nakheel,375000,1,1,1,1,0,1,0,1,0,1,1,0,0,0,Apartment,3,0.0,Not_In_Compound,Ready,Finished,2314.814814814815
135,3,2,Nakheel,830000,1,1,1,1,0,1,1,1,1,1,1,1,1,1,Apartment,3,1.0,Not_In_Compound,Ready,Finished,6148.148148148148
100,1,1,Roushdy,1800000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,4,0.0,Not_In_Compound,Ready,Finished,18000.0
120,2,1,Sidi Beshr,1250000,1,0,1,1,1,0,1,1,0,0,0,0,0,0,Apartment,10+,0.0,Not_In_Compound,Ready,Finished,10416.666666666666
145,3,1,Sidi Gaber,2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,10+,1.0,Not_In_Compound,Ready,Finished,17931.03448275862
110,3,1,Sidi Beshr,320000,0,1,0,0,0,0,1,0,1,0,0,0,0,0,Apartment,7,0.0,Not_In_Compound,Ready,Finished,2909.090909090909
105,3,1,Smoha,1500000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,9,1.0,Not_In_Compound,Ready,Finished,14285.714285714286
135,2,1,Nakheel,250000,1,1,1,1,0,0,0,1,0,1,0,1,0,0,Apartment,9,0.0,Not_In_Compound,Ready,Finished,1851.851851851852
90,2,1,Nakheel,200000,0,1,1,1,0,0,1,1,0,1,0,0,0,1,Apartment,3,0.0,Not_In_Compound,Ready,Finished,2222.222222222222
131,3,2,San Stefano,1550000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,2,0.0,Not_In_Compound,Ready,Finished,11832.06106870229
120,3,1,Labban,700000,0,0,1,1,1,1,1,0,0,0,0,0,0,0,Apartment,5,0.0,Not_In_Compound,Ready,Finished,5833.333333333333
145,3,1,Victoria,850000,0,0,1,1,1,0,1,1,0,0,0,0,0,0,Apartment,4,0.0,Not_In_Compound,Ready,Finished,5862.068965517241
225,4,3,Smoha,3950000,1,1,1,1,1,1,1,1,1,0,0,1,1,0,Apartment,9,0.0,Not_In_Compound,Ready,Finished,17555.555555555555
